tick,price
1169,1268.2
1170,1268.2
1171,1268.2
1172,1268.2
1173,1268.2
1174,1268.2
1175,1268.2
1176,1268.2
1177,1268.2
1178,1268.2
1179,1267.2
1180,1268
1181,1268
1182,1268
1183,1268
1184,1268
1185,1268
1186,1268
1187,1268
1188,1268
1189,1268
1190,1268
1191,1268
1192,1268
1193,1268
1194,1268
1195,1268
1196,1268
1197,1268
1198,1268
1199,1268
1200,1268
1201,1268
1202,1268
1203,1268
1204,1267
1205,1267
1206,1267
1207,1268.4
1208,1268.4
1209,1268.4
1210,1268.4
1211,1268.4
1212,1268.4
1213,1268.4
1214,1268.4
1215,1268.4
1216,1268.4
1217,1268.4
1218,1268.4
1219,1268.4
1220,1268.4
1221,1268.4
1222,1268.4
1223,1268.4
1224,1268.4
1225,1268.4
1226,1268.4
1227,1268.4
1228,1268.4
1229,1268.4
1230,1268.4
1231,1268.4
1232,1268.4
1233,1267.4
1234,1267.4
1235,1267.6
1236,1267.6
1237,1267.6
1238,1268
1239,1268
1240,1268
1241,1268
1242,1268
1243,1268
1244,1268
1245,1268
1246,1268
1247,1268.2
1248,1268
1249,1268
1250,1268
1251,1268
1252,1268
1253,1268
1254,1268
1255,1268
1256,1268
1257,1268.4
1258,1268.4
1259,1268.4
1260,1268.4
1261,1268.4
1262,1268.4
1263,1268.4
1264,1268.4
1265,1268.4
1266,1268.4
1267,1268.4
1268,1268
1269,1268
1270,1268
1271,1268
1272,1268
1273,1268
1274,1268
1275,1268
1276,1268
1277,1268.2
1278,1268.2
1279,1268.2
1280,1268.2
1281,1268.2
1282,1268.2
1283,1268
1284,1268
1285,1268
1286,1268
1287,1268
1288,1268
1289,1268
1290,1268
1291,1268
1292,1268
1293,1268
1294,1267
1295,1267
1296,1267
1297,1267
1298,1267
1299,1267
1300,1267
1301,1267
1302,1268
1303,1268
1304,1268
1305,1268
1306,1268
1307,1268
1308,1268
1309,1268
1310,1268
1311,1268
1312,1268
1313,1268
1314,1268
1315,1268
1316,1268
1317,1268.6
1318,1268.6
1319,1268.6
1320,1268.6
1321,1268.6
1322,1268.6
1323,1268.6
1324,1268.6
1325,1268.6
1326,1268.6
1327,1268.6
1328,1268.6
1329,1268.4
1330,1268.4
1331,1268.4
1332,1268.4
1333,1268.4
1334,1267.4
1335,1267.4
1336,1267.4
1337,1268.2
1338,1268.2
1339,1268
1340,1268
1341,1268
1342,1268
1343,1268
1344,1268
1345,1268
1346,1268
1347,1268
1348,1268
1349,1268
1350,1268
1351,1268
1352,1268
1353,1268
1354,1268
1355,1268
1356,1268
1357,1268
1358,1268.8
1359,1268.8
1360,1268.8
1361,1268.8
1362,1268.8
1363,1268.8
1364,1268.8
1365,1268.8
1366,1268.8
1367,1268.8
1368,1268.8
1369,1268.8
1370,1268.8
1371,1268.8
1372,1268.8
1373,1268.8
1374,1268.8
1375,1268.8
1376,1268.8
1377,1268.8
1378,1268.8
1379,1268.8
1380,1268.8
1381,1268.8
1382,1268.8
1383,1268.8
1384,1268.8
1385,1268.8
1386,1268.8
1387,1268.8
1388,1268.8
1389,1268.8
1390,1268.8
1391,1268.8
1392,1268.8
1393,1268.8
1394,1269
1395,1268
1396,1268
1397,1268
1398,1268
1399,1268
1400,1268
1401,1268
1402,1268
1403,1267.8
1404,1267.8
1405,1268.2
1406,1268.2
1407,1268.2
1408,1268.2
1409,1268.2
1410,1268.2
1411,1268.2
1412,1268.2
1413,1268.2
1414,1268.2
1415,1267.2
1416,1267.2
1417,1267.2
1418,1267.2
1419,1267.8
1420,1267.8
